GEO_ID,NAME,TOTAL UNITS,MOBILE UNITS,RATIO
37001,"Alamance County, North Carolina",69749,0.7,0.010035986
37003,"Alexander County, North Carolina",16399,2.6,0.158546253
37005,"Alleghany County, North Carolina",8160,2.9,0.355392157
37007,"Anson County, North Carolina",11594,3.1,0.267379679
37009,"Ashe County, North Carolina",17649,2.4,0.135985042
37011,"Avery County, North Carolina",14166,2.3,0.162360582
37013,"Beaufort County, North Carolina",25930,2,0.077130737
37015,"Bertie County, North Carolina",9841,3.4,0.345493344
37017,"Bladen County, North Carolina",17877,2.2,0.123063154
37019,"Brunswick County, North Carolina",86968,1,0.011498482
37021,"Buncombe County, North Carolina",121591,0.8,0.006579434
37023,"Burke County, North Carolina",41092,1.5,0.036503456
37025,"Cabarrus County, North Carolina",78093,0.6,0.007683147
37027,"Caldwell County, North Carolina",37950,1.4,0.036890646
37029,"Camden County, North Carolina",4228,3.7,0.875118259
37031,"Carteret County, North Carolina",49911,0.9,0.018032097
37033,"Caswell County, North Carolina",10778,2.7,0.250510299
37035,"Catawba County, North Carolina",68693,0.8,0.011646019
37037,"Chatham County, North Carolina",31555,1.4,0.044366978
37039,"Cherokee County, North Carolina",18104,2.2,0.121520106
37041,"Chowan County, North Carolina",7301,4.1,0.561566909
37043,"Clay County, North Carolina",7309,3.7,0.506225202
37045,"Cleveland County, North Carolina",43579,1.2,0.027536199
37047,"Columbus County, North Carolina",26250,1.9,0.072380952
37049,"Craven County, North Carolina",46911,1.1,0.023448658
37051,"Cumberland County, North Carolina",145839,0.3,0.002057063
37053,"Currituck County, North Carolina",15557,1.4,0.089991644
37055,"Dare County, North Carolina",34515,1,0.02897291
37057,"Davidson County, North Carolina",74311,1,0.013456958
37059,"Davie County, North Carolina",18582,2.4,0.129157249
37061,"Duplin County, North Carolina",25876,2.3,0.088885454
37063,"Durham County, North Carolina",133429,0.3,0.002248387
37065,"Edgecombe County, North Carolina",24945,1.4,0.056123472
37067,"Forsyth County, North Carolina",163382,0.3,0.001836188
37069,"Franklin County, North Carolina",28012,2,0.071397972
37071,"Gaston County, North Carolina",91779,0.6,0.006537443
37073,"Gates County, North Carolina",5336,3.9,0.730884558
37075,"Graham County, North Carolina",6017,3.4,0.565065647
37077,"Granville County, North Carolina",24069,1.7,0.070630271
37079,"Greene County, North Carolina",8316,2.6,0.312650313
37081,"Guilford County, North Carolina",226743,0.3,0.001323084
37083,"Halifax County, North Carolina",25919,1.7,0.06558895
37085,"Harnett County, North Carolina",51230,1.1,0.021471794
37087,"Haywood County, North Carolina",35398,1.8,0.050850331
37089,"Henderson County, North Carolina",56939,1.1,0.01931892
37091,"Hertford County, North Carolina",10632,2.2,0.206922498
37093,"Hoke County, North Carolina",20709,1.4,0.067603457
37095,"Hyde County, North Carolina",3249,5.7,1.754385965
37097,"Iredell County, North Carolina",72834,0.8,0.010983881
37099,"Jackson County, North Carolina",27073,1.8,0.066486906
37101,"Johnston County, North Carolina",73685,1,0.013571283
37103,"Jones County, North Carolina",4958,3.2,0.645421541
37105,"Lee County, North Carolina",24463,1.5,0.061317091
37107,"Lenoir County, North Carolina",27550,1.6,0.058076225
37109,"Lincoln County, North Carolina",35227,1.5,0.042580975
37111,"McDowell County, North Carolina",21297,2.2,0.103300934
37113,"Macon County, North Carolina",25557,1.6,0.062605157
37115,"Madison County, North Carolina",10892,2.6,0.238707308
37117,"Martin County, North Carolina",11608,2.8,0.241212957
37119,"Mecklenburg County, North Carolina",435795,0.1,0.000229466
37121,"Mitchell County, North Carolina",8812,3.2,0.363141171
37123,"Montgomery County, North Carolina",16235,2.7,0.166307361
37125,"Moore County, North Carolina",46638,1.1,0.023585917
37127,"Nash County, North Carolina",42876,1.3,0.030319993
37129,"New Hanover County, North Carolina",109244,0.5,0.00457691
37131,"Northampton County, North Carolina",11670,2.7,0.231362468
37133,"Onslow County, North Carolina",78501,1.1,0.01401256
37135,"Orange County, North Carolina",57502,0.8,0.01391256
37137,"Pamlico County, North Carolina",7721,2.9,0.375599016
37139,"Pasquotank County, North Carolina",17108,1.4,0.081833061
37141,"Pender County, North Carolina",28601,1.6,0.0559421
37143,"Perquimans County, North Carolina",7136,3.4,0.476457399
37145,"Person County, North Carolina",18428,2.3,0.124810072
37147,"Pitt County, North Carolina",78563,0.9,0.011455774
37149,"Polk County, North Carolina",11674,2.2,0.188452972
37151,"Randolph County, North Carolina",62147,1.2,0.019309058
37153,"Richmond County, North Carolina",21380,2,0.09354537
37155,"Robeson County, North Carolina",53065,1,0.018844813
37157,"Rockingham County, North Carolina",43977,1.5,0.034108739
37159,"Rowan County, North Carolina",61329,1,0.0163055
37161,"Rutherford County, North Carolina",34275,1.7,0.049598833
37163,"Sampson County, North Carolina",27610,1.7,0.061571894
37165,"Scotland County, North Carolina",15295,1.5,0.098071265
37167,"Stanly County, North Carolina",27638,1.3,0.047036689
37169,"Stokes County, North Carolina",22186,2.3,0.10366898
37171,"Surry County, North Carolina",34030,1.6,0.047017338
37173,"Swain County, North Carolina",8951,2.9,0.323986147
37175,"Transylvania County, North Carolina",19560,1.9,0.097137014
37177,"Tyrrell County, North Carolina",2229,5.7,2.557200538
37179,"Union County, North Carolina",79644,0.6,0.007533524
37181,"Vance County, North Carolina",20117,2.2,0.109360243
37183,"Wake County, North Carolina",421426,0.2,0.000474579
37185,"Warren County, North Carolina",11948,2.7,0.225979243
37187,"Washington County, North Carolina",6458,4.5,0.696810158
37189,"Watauga County, North Carolina",33520,1,0.029832936
37191,"Wayne County, North Carolina",54074,1.3,0.024041129
37193,"Wilkes County, North Carolina",33480,1.6,0.047789725
37195,"Wilson County, North Carolina",36005,0.9,0.024996528
37197,"Yadkin County, North Carolina",17401,2.3,0.132176312
37199,"Yancey County, North Carolina",11211,2.8,0.249754705
